Region,cost,response,cost per response,purchase,cost per purchase,purchase revenue,ROAS
US/central/austin-tx,$111.37 ,92.35,$1.21 ,2.45,$45.51 ,$556.81 ,5.00
US/central/birmingham-al,$99.86 ,66.14,$1.51 ,0.72,$138.36 ,$61.28 ,0.61
US/central/bowling-green-ky,$7.99 ,0,$0 ,0,$0 ,$0 ,0.00
US/central/champaign-springfield-decatur-il,$55.39 ,7.7,$7 ,0,$0 ,$0 ,0.00
US/central/chicago-il,$509.71 ,889.72,$0.57 ,13.37,$38 ,"$3,546 ",6.96
US/central/columbus-tupelo-west-point-ms,$8.53 ,0.96,$8.90 ,0,$0.00 ,$0.00 ,0.00
US/central/corpus-christi-tx,$20.05 ,5.29,$3.79 ,0,$0 ,$0 ,0.00
US/central/dallas-ft-worth-tx,$225.36 ,472.64,$0.48 ,9.49,$23.75 ,"$2,982.34 ",13.23
US/central/duluth-mn-superior-wi,$12.70 ,1.95,$6.53 ,0,$0.00 ,$0.00 ,0.00
US/central/evansville-in,$21.81 ,7.56,$2.89 ,0,$0 ,$0 ,0.00
US/central/green-bay-appleton-wi,$43.11 ,6.97,$6.19 ,0,$0 ,$0 ,0.00
US/central/harlingen-weslaco-mcallen-tx,$21.55 ,3.27,$6.59 ,0,$0 ,$0 ,0.00
US/central/hattiesburg-laurel-ms,$15.47 ,0.96,$16.15 ,0,$0.00 ,$0.00 ,0.00
US/central/houston-tx,$229.19 ,143.73,$2 ,5.46,$42 ,"$1,422 ",6.20
US/central/huntsville-decatur-florence-al,$44.94 ,16.52,$2.72 ,0.82,$54.71 ,$85.49 ,1.90
US/central/jackson-ms,$33.43 ,11.49,$2.91 ,0.88,$38.16 ,$0.00 ,0.00
US/central/kansas-city-mo,$120.03 ,67.75,$1.77 ,1.15,$104 ,$257 ,2.14
US/central/la-crosse-eau-claire-wi,$17.66 ,5.8,$3.04 ,0,$0.00 ,$0.00 ,0.00
US/central/laredo-tx,$9.61 ,0,$0.00 ,0,$0 ,$0 ,0.00
US/central/lincoln-hastings-kearney-ne,$19.33 ,2.63,$7 ,0,$0 ,$0 ,0.00
US/central/little-rock-pine-bluff-ar,$19.44 ,6.82,$2.85 ,0,$0 ,$0 ,0.00
US/central/madison-wi,$34.04 ,4.84,$7.04 ,0,$0 ,$0 ,0.00
US/central/mankato-mn,$4.59 ,0,$0.00 ,0,$0 ,$0 ,0.00
US/central/memphis-tn,$79.48 ,24.94,$3.19 ,0,$0 ,$0 ,0.00
US/central/meridian-ms,$6.57 ,0.48,$13.76 ,0,$0.00 ,$0.00 ,0.00
US/central/milwaukee-wi,$126.42 ,41.59,$3.04 ,0,$0 ,$0 ,0.00
US/central/minneapolis-st-paul-mn,$302 ,82.92,$3.64 ,1.59,$190 ,$216 ,0.71
US/central/monroe-la-el-dorado-ar,$20.59 ,1.55,$13.25 ,0,$0.00 ,$0.00 ,0.00
US/central/montgomery-selma-al,$21.63 ,7.83,$2.76 ,0,$0 ,$0 ,0.00
US/central/nashville-tn,$128.35 ,69.55,$1.85 ,0,$0 ,$0 ,0.00
US/central/omaha-ne,$3.27 ,103.04,$0.03 ,0,$0.00 ,$0.00 ,0.00
US/central/paducah-ky-harrisburg-il,$34.50 ,10.88,$3.17 ,0,$0 ,$0 ,0.00
