CLIENT_NAME,PRODUCT,ESTIMATE,REGION,SysCode,DMA,TIMEZONE,ORDERED_DAYPART,NETWORK,Rate,SPOTLENGTH,DATE_AIRED,TIME_AIRED,SZSPOTTITLE,DISCLAIMER
SUPER STROKE,GOLFChannel,RE010795,XGWI,5012,Duluth/Superior,CST,06:00-23:59,GOLF,.0100,30,07/06/2023,21:47:44,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,5012,Duluth/Superior,CST,06:00-23:59,GOLF,.0100,30,07/06/2023,23:58:09,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,2963,Duluth/Superior,CST,06:00-23:59,GOLF,.0200,30,07/03/2023,08:17:58,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,2963,Duluth/Superior,CST,06:00-23:59,GOLF,.0200,30,07/08/2023,07:59:20,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,3355,Duluth/Superior,CST,06:00-23:59,GOLF,.0100,30,07/06/2023,20:49:13,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,3355,Duluth/Superior,CST,06:00-23:59,GOLF,.0100,30,07/08/2023,11:35:15,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,2611,Trav Cty/Cadillc,EST,06:00-23:59,GOLF,.0800,30,07/08/2023,07:53:47,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,3307,Flint/Saginaw,EST,06:00-23:59,GOLF,.0200,30,07/05/2023,11:23:29,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,3305,Flint/Saginaw,EST,06:00-23:59,GOLF,.0400,30,07/07/2023,06:47:08,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,4578,Madison,CST,06:00-23:59,GOLF,.0900,30,07/03/2023,08:17:28,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,4578,Madison,CST,06:00-23:59,GOLF,.0900,30,07/04/2023,10:16:48,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,4578,Madison,CST,06:00-23:59,GOLF,.0900,30,07/09/2023,09:21:32,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,6662,Flint/Saginaw,EST,06:00-23:59,GOLF,.0500,30,07/07/2023,08:40:07,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,6662,Flint/Saginaw,EST,06:00-23:59,GOLF,.0500,30,07/07/2023,11:26:48,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,5986,Wausau/Rhineland,CST,06:00-23:59,GOLF,.0400,30,07/04/2023,10:16:49,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,1065,Flint/Saginaw,EST,06:00-23:59,GOLF,.1100,30,07/04/2023,11:16:48,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,1065,Flint/Saginaw,EST,06:00-23:59,GOLF,.1100,30,07/07/2023,10:17:33,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,2353,Green Bay/Apple,CST,06:00-23:59,GOLF,.1300,30,07/03/2023,16:19:27,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,2315,La Crosse,CST,06:00-23:59,GOLF,.0100,30,07/05/2023,23:27:30,SSFYG11823H,This is not final. Actual invoice may vary
SUPER STROKE,GOLFChannel,RE010795,XGWI,2315,La Crosse,CST,06:00-23:59,GOLF,.0100,30,07/07/2023,09:17:33,SSFYG11823H,This is not final. Actual invoice may vary
